year,main_genre,total_score
1964,"Jazz",79809
1964,"Pop",74771
1964,"Rock",31083
1964,"Unknown",29333
1964,"Blues & Soul",25514
1964,"Other",8350
1964,"Country & Folk",7408
1964,"R&B & Funk",3349
1964,"Christian",3156
1964,"Reggae",2309
1964,"Children's",1783
1964,"Avant-Garde & Experimental",936
1964,"Hip Hop",676
1964,"Latin",413
1964,"Electronic",14
1965,"Pop",83855
1965,"Jazz",81814
1965,"Rock",35971
1965,"Blues & Soul",29993
1965,"Unknown",20135
1965,"Christian",7558
1965,"Country & Folk",5074
1965,"Avant-Garde & Experimental",5062
1965,"Other",5010
1965,"R&B & Funk",3562
1965,"Children's",1453
1965,"Electronic",997
1965,"Classical",326
1965,"Latin",13
1966,"Pop",95855
1966,"Jazz",66603
1966,"Rock",29651
1966,"Unknown",27261
1966,"Blues & Soul",23479
1966,"R&B & Funk",12260
1966,"Avant-Garde & Experimental",10525
1966,"Country & Folk",8708
1966,"Other",7072
1966,"Christian",4289
1966,"Classical",1181
1966,"Latin",254
1967,"Pop",107965
1967,"Jazz",53382
1967,"Blues & Soul",38219
1967,"Unknown",23825
1967,"Rock",22938
1967,"Avant-Garde & Experimental",11153
1967,"R&B & Funk",8883
1967,"Other",6237
1967,"Country & Folk",3775
1967,"Christian",2408
1967,"Electronic",1319
1967,"Children's",459
1967,"Classical",236
1967,"Reggae",51
1968,"Pop",87433
1968,"Jazz",48196
1968,"Blues & Soul",45921
1968,"Rock",31048
1968,"Unknown",24118
1968,"R&B & Funk",11718
1968,"Country & Folk",6949
1968,"Avant-Garde & Experimental",6760
1968,"Other",6334
1968,"Classical",2868
1968,"Christian",2761
1968,"Electronic",2247
1968,"Latin",2026
1968,"Children's",651
1969,"Pop",75862
1969,"Blues & Soul",45271
1969,"Rock",42420
1969,"Unknown",38831
1969,"Jazz",38722
1969,"R&B & Funk",11568
1969,"Other",7536
1969,"Country & Folk",7077
1969,"Avant-Garde & Experimental",6651
1969,"Electronic",5453
1969,"Christian",1235
1969,"Classical",1187
1969,"Reggae",1082
1969,"Latin",771
1969,"Metal",452
1970,"Pop",56773
1970,"Blues & Soul",48524
1970,"Rock",46038
1970,"Jazz",41786
1970,"Unknown",29774
1970,"Country & Folk",13199
1970,"R&B & Funk",11927
1970,"Other",4036
1970,"Latin",2502
1970,"Avant-Garde & Experimental",2208
1970,"Electronic",2156
1970,"Christian",721
